Designator,MidX,MidY,Layer,Rotation
C1,288,122,Bottom,180
C2,301,115.3,Bottom,0
C3,34.5,108,Bottom,90
C4,44.5,112,Bottom,90
C5,120.5,108,Bottom,90
C6,130.5,112,Bottom,90
C7,206.5,108,Bottom,90
C8,216.5,112,Bottom,90
C9,288.5,109,Bottom,180
C10,289.5,114.6,Bottom,180
C11,289.5,113.3,Bottom,180
C12,301,110.1,Bottom,0
C13,301,108.8,Bottom,0
C14,301,106.1,Bottom,0
C15,301,104.8,Bottom,0
C16,288.5,104,Bottom,0
C17,339.5,54.4,Bottom,180
C18,339.5,49.5,Bottom,0
C19,357,50.5,Bottom,90
C20,348.5,45,Bottom,90
D1,24,119,Bottom,0
D2,62,119,Bottom,0
D3,81,119,Bottom,0
D4,100,119,Bottom,0
D5,148,119,Bottom,0
D6,167,119,Bottom,0
D7,186,119,Bottom,0
D8,233,119,Bottom,0
D9,252,119,Bottom,0
D10,271,119,Bottom,0
D11,318,119,Bottom,0
D12,337,119,Bottom,0
D13,356,119,Bottom,0
D14,38,108,Bottom,0
D15,110,106,Bottom,180
D16,124,108,Bottom,0
D17,195.5,106.1,Bottom,180
D18,210,108,Bottom,0
D19,281,106,Bottom,180
D20,24,95,Bottom,0
D21,43,95,Bottom,0
D22,62,95,Bottom,0
D23,81,95,Bottom,0
D24,100,95,Bottom,0
D25,119,95,Bottom,0
D26,138,95,Bottom,0
D27,157,95,Bottom,0
D28,176,95,Bottom,0
D29,195,95,Bottom,0
D30,214,95,Bottom,0
D31,233,95,Bottom,0
D32,252,95,Bottom,0
D33,279,95,Bottom,0
D34,318,95,Bottom,0
D35,337,95,Bottom,0
D36,356,95,Bottom,0
D37,28,76,Bottom,0
D38,52,76,Bottom,0
D39,71,76,Bottom,0
D40,90,76,Bottom,0
D41,109,76,Bottom,0
D42,128,76,Bottom,0
D43,147,76,Bottom,0
D44,166,76,Bottom,0
D45,185,76,Bottom,0
D46,204,76,Bottom,0
D47,223,76,Bottom,0
D48,242,76,Bottom,0
D49,261,76,Bottom,0
D50,285,76,Bottom,0
D51,318,76,Bottom,0
D52,337,76,Bottom,0
D53,356,76,Bottom,0
D54,31,57,Bottom,0
D55,57,57,Bottom,0
D56,76,57,Bottom,0
D57,95,57,Bottom,0
D58,114,57,Bottom,0
D59,133,57,Bottom,0
D60,152,57,Bottom,0
D61,171,57,Bottom,0
D62,190,57,Bottom,0
D63,209,57,Bottom,0
D64,228,57,Bottom,0
D65,247,57,Bottom,0
D66,278,55.9,Bottom,0
D67,33,41,Bottom,0
D68,47,38,Bottom,0
D69,67,38,Bottom,0
D70,86,38,Bottom,0
D71,105,38,Bottom,0
D72,124,38,Bottom,0
D73,143,38,Bottom,0
D74,162,38,Bottom,0
D75,181,38,Bottom,0
D76,200,38,Bottom,0
D77,219,38,Bottom,0
D78,238,38,Bottom,0
D79,273,37,Bottom,0
D80,329,43,Bottom,90
D81,26,19,Bottom,0
D82,50,19,Bottom,0
D83,73,19,Bottom,0
D84,97,19,Bottom,0
D85,121,19,Bottom,0
D86,145,19,Bottom,0
D87,168,19,Bottom,0
D88,192,19,Bottom,0
D89,216,19,Bottom,0
D90,240,19,Bottom,0
D91,264,19,Bottom,0
D92,288,19,Bottom,0
D93,314,24,Bottom,90
D94,323.9,24,Bottom,90
D95,352.5,24,Bottom,90
F1,280,125,Bottom,180
IC1,295,110,Bottom,90
IC2,295,101,Bottom,90
IC3,306,52,Bottom,0
IC4,348,52,Bottom,90
R1,289.5,116,Bottom,180
R2,290.5,119.5,Bottom,180
R3,295,119,Bottom,0
R4,295,117.6,Bottom,0
R5,295,116,Bottom,180
R6,299.5,119.5,Bottom,0
R7,301,116.6,Bottom,180
R8,302,122,Bottom,180
R9,305,125,Bottom,0
R10,31.5,112,Bottom,270
R11,37,111.7,Bottom,90
R12,39,111.7,Bottom,90
R13,117.5,112,Bottom,270
R14,123,111.7,Bottom,90
R15,125,111.7,Bottom,90
R16,203.5,112,Bottom,270
R17,209,111.7,Bottom,90
R18,211,111.7,Bottom,90
R19,301,114,Bottom,0
R20,301,112,Bottom,180
R21,301,107.4,Bottom,180
R22,300,52,Bottom,90
R23,307,59.5,Bottom,0
R24,315.5,51.5,Bottom,90
R25,317.5,51.5,Bottom,90
R26,351.5,58,Bottom,270
R27,305.5,41,Bottom,270
R28,308,41,Bottom,270
R29,309.5,41,Bottom,270
R30,312.6,41,Bottom,270
R31,315,41,Bottom,270
R32,316.5,41,Bottom,270
R33,355,45.5,Bottom,180
RESET,326,52,Bottom,0
X1,288.5,106.5,Bottom,180
X2,339.5,52,Bottom,180
